NEVERS -COLBERT 2;FRPCC3
NEVERS -ST EXUPERY;FRPAP7
NICE -CALIFORNIE;FRPI56
NICE -GORBELLA;FRPI57
NICE -MONT BORON;FRPI58
NICE -NOTRE DAME;FRPCDP
NICE -PESSICART;FRPAVH
NICE -ST ANDRE;FRPI59
NIMES -KENNEDY;FRPI60
NIMES -PAINLEVE;FRPI61
NIORT -ST JEAN;FRPI63
NIVILLAC;FRPAI7
NOGARO;FRPBD2
NOGENT LE ROI;FRPC17
NOGENT S/SEINE;FRPAGT
NOISY LE SEC 2;FRPAG3
NONANCOURT;FRPL03
NOUZONVILLE;FRPBBL
NUITS ST GEORGES;FRPI71
OBJAT;FRPI72
OCTEVILLE;FRPC22
OFFRANVILLE;FRPI73
OLLIOULES;FRPC23
OLORON STE MARIE;FRPCFX
ONNAING;FRPC24
OPIO;FRPC25
ORBEC -VESPIERE;FRPC26
ORLEANS -MADELEINE;FRPI77
ORLEANS -OLIVET;FRPAVZ
ORLEANS -ST MESMIN;FRPI79
OS MARSILLON;FRPC28
OUISTREHAM;FRPC29
OUTREAU -SOLEIL;FRPI81
OYONNAX;FRPI82
PACY S/EURE;FRPASG
PALAVAS LES FLOTS;FRPC32
PARIGNY;FRPCE2
PARIS -BARBES;FRPC33
PARIS -BRUNE;FRPANY
PARIS -CLIGNANCOURT;FRPAJD
PARIS -DEMOURS;FRPC35
PARIS -ITALIE 2;FRPI87
PARIS -LECLERC;FRPC36
PARIS -LYON;FRPAH3
PARIS -MARCADET;FRPC37
PARIS -MAUBEUGE;FRPC38
PARIS -MONGE;FRPC39
PARIS -NATIONALE;FRPI88
PARIS -PROCESSION;FRPC40
PARIS -PYRENEES;FRPI89
PARIS -ROCHECHOUART;FRPI90
PARIS -SEINE;FRPC41
PARIS -ST MARCEL;FRPC42
PARIS -ST OUEN;FRPC43
PARIS -TOLBIAC 174;FRPC44
PARIS -TURGOT ROCHEC;FRPCC6
PARIS -VOUILLE;FRPI91
PAU -KENNEDY;FRPCFY
PAUILLAC;FRPAHY
PAVILLY;FRPI95
PECHBONNIEU;FRPC45
PENESTIN -PONTCANO;FRPAI8
PENVENAN -LANNION;FRPAD5
PERIERS -CARENTAN;FRPI96
PERONNAS;FRPI97
PERRIGNY -CHAMPAGNOL;FRPI98
PERTUIS;FRPC48
PESSAC -ALOUETTES;FRPCDK
PEYREHORADE -BAYONNE;FRPCFZ
PEYREHORADE -SABLOT;FRPCGA
PEZENAS;FRPC50
PIBRAC;FRPJ05
PIERRELATTE;FRPJ06
PIERRES;FRPJ07
PINON;FRPC52
PINS JUSTARET;FRPC53
PITHIVIERS -DADONVIL;FRPJ09
PLEDRAN;FRPAKV
PLOEMEUR -BRETAGNE;FRPAL9
PLOEUC S/LIE;FRPAID
PLOMEUR;FRPC54
PLOUAGAT;FRPAD4
PLOUAY;FRPC55
PLOUBALAY;FRPAKP
PLOUHA;FRPC56
